Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real,,,,,,,,
2010,4,201004,Brisbane,Melbourne,Brisbane - Melbourne,158,230.7327766,,,,,,,,
2010,4,201004,Brisbane,Mount Isa,Brisbane - Mount Isa,544,794.4217119,,,,,,,,
2010,4,201004,Brisbane,Perth,Brisbane - Perth,404,589.9749478,,,,,,,,
2010,4,201004,Brisbane,Proserpine,Brisbane - Proserpine,138,201.526096,,,,,,,,
2010,4,201004,Brisbane,Rockhampton,Brisbane - Rockhampton,88,128.5093946,,,,,,,,
2010,4,201004,Brisbane,Sydney,Brisbane - Sydney,138,201.526096,,,,,,,,
2010,4,201004,Brisbane,Townsville,Brisbane - Townsville,148,216.1294363,,,,,,,,
2010,4,201004,Brisbane,Newcastle,Brisbane - Newcastle,78,113.9060543,,,,,,,,
2010,4,201004,Broome,Perth,Broome - Perth,298,435.1795407,,,,,,,,
2010,4,201004,Bundaberg,Brisbane,Bundaberg - Brisbane,170,248.256785,,,,,,,,
2010,4,201004,Cairns,Melbourne,Cairns - Melbourne,378.95,553.3935804,,,,,,,,
2010,4,201004,Cairns,Sydney,Cairns - Sydney,258,376.7661795,,,,,,,,
2010,4,201004,Cairns,Townsville,Cairns - Townsville,98,143.1127349,,,,,,,,
2010,4,201004,Canberra,Melbourne,Canberra - Melbourne,57,83.23903967,,,,,,,,
2010,4,201004,Canberra,Sydney,Canberra - Sydney,98,143.1127349,,,,,,,,
2010,4,201004,Coffs Harbour,Sydney,Coffs Harbour - Sydney,148,216.1294363,,,,,,,,
2010,4,201004,Darwin,Melbourne,Darwin - Melbourne,328,478.9895616,,,,,,,,
2010,4,201004,Darwin,Perth,Darwin - Perth,298,435.1795407,,,,,,,,
2010,4,201004,Darwin,Sydney,Darwin - Sydney,438,639.6263048,,,,,,,,
2010,4,201004,Devonport,Melbourne,Devonport - Melbourne,198,289.1461378,,,,,,,,
2010,4,201004,Dubbo,Sydney,Dubbo - Sydney,247.22,361.0237787,,,,,,,,
2010,4,201004,Geraldton,Perth,Geraldton - Perth,277,404.5125261,,,,,,,,
2010,4,201004,Gold Coast,Sydney,Gold Coast - Sydney,57,83.23903967,,,,,,,,
2010,4,201004,Hamilton Island,Sydney,Hamilton Island - Sydney,238,347.559499,,,,,,,,
2010,4,201004,Hervey Bay,Sydney,Hervey Bay - Sydney,230,335.8768267,,,,,,,,
2010,4,201004,Hobart,Melbourne,Hobart - Melbourne,56,81.77870564,,,,,,,,
2010,4,201004,Hobart,Sydney,Hobart - Sydney,178,259.9394572,,,,,,,,
2010,4,201004,Kalgoorlie,Perth,Kalgoorlie - Perth,359,524.2599165,,,,,,,,
2010,4,201004,Karratha,Perth,Karratha - Perth,398,581.2129436,,,,,,,,
2010,4,201004,Launceston,Melbourne,Launceston - Melbourne,47,68.63569937,,,,,,,,
2010,4,201004,Launceston,Sydney,Launceston - Sydney,174,254.0981211,,,,,,,,
2010,4,201004,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,137,200.065762,,,,,,,,
2010,4,201004,Sunshine Coast,Sydney,Sunshine Coast - Sydney,138,201.526096,,,,,,,,
2010,4,201004,Melbourne,Gold Coast,Melbourne - Gold Coast,117,170.8590814,,,,,,,,
2010,4,201004,Melbourne,Mildura,Melbourne - Mildura,178,259.9394572,,,,,,,,
2010,4,201004,Melbourne,Perth,Melbourne - Perth,296,432.2588727,,,,,,,,
2010,4,201004,Melbourne,Sydney,Melbourne - Sydney,57,83.23903967,,,,,,,,
2010,4,201004,Melbourne,Newcastle,Melbourne - Newcastle,108,157.7160752,,,,,,,,
2010,4,201004,Paraburdoo,Perth,Paraburdoo - Perth,429,626.4832985,,,,,,,,
2010,4,201004,Perth,Newman,Perth - Newman,368,537.4029228,,,,,,,,
2010,4,201004,Perth,Port Hedland,Perth - Port Hedland,298,435.1795407,,,,,,,,
2010,4,201004,Perth,Sydney,Perth - Sydney,388,566.6096033,,,,,,,,
2010,4,201004,Port Macquarie,Sydney,Port Macquarie - Sydney,118,172.3194154,,,,,,,,
2010,4,201004,Sydney,Tamworth,Sydney - Tamworth,190,277.4634656,,,,,,,,
2010,4,201004,Sydney,Townsville,Sydney - Townsville,238,347.559499,,,,,,,,
2010,4,201004,Sydney,Wagga Wagga,Sydney - Wagga Wagga,213.92,312.3946555,,,,,,,,
2010,4,201004,Newcastle,Gold Coast,Newcastle - Gold Coast,148,216.1294363,,,,,,,,
2010,5,201005,Adelaide,Alice Springs,Adelaide - Alice Springs,318,464.3862213,,,,,,,,
2010,5,201005,Adelaide,Brisbane,Adelaide - Brisbane,96,140.1920668,,,,,,,,
2010,5,201005,Adelaide,Canberra,Adelaide - Canberra,278,405.9728601,,,,,,,,
2010,5,201005,Adelaide,Darwin,Adelaide - Darwin,378.95,553.3935804,,,,,,,,
2010,5,201005,Adelaide,Gold Coast,Adelaide - Gold Coast,96,140.1920668,,,,,,,,
